city,value
Abilene,"47,689"
Addison,"73,383"
Alamo,"39,275"
Alamo Heights,"132,313"
Aldine,"38,964"
Alice,"36,250"
Allen,"106,736"
Alpine,"43,307"
Alton,"30,975"
Alvin,"53,714"
Amarillo,"52,543"
Andrews,"73,944"
Angleton,"55,142"
Anna,"88,065"
Anthony,"35,756"
Aransas Pass,"44,583"
Arlington,"58,502"
Atascocita,"97,465"
Athens,"37,445"
Atlanta,"39,000"
Austin,"67,462"
Azle,"65,295"
Bacliff,"39,707"
Balch Springs,"48,295"
Bastrop,"61,538"
Bay City,"47,606"
Baytown,"55,628"
Beaumont,"47,144"
Bedford,"66,636"
Beeville,"32,627"
Bellaire,"201,629"
Bellmead,"38,985"
Belton,"53,623"
Benbrook,"71,281"
Big Spring,"49,266"
Boerne,"63,420"
Bonham,"39,690"
Borger,"45,909"
Bowie,"46,182"
Brady,"42,900"
Breckenridge,"42,952"
Brenham,"44,049"
Briar,"61,729"
Bridge City,"74,118"
Bridgeport,"47,912"
Brownfield,"41,197"
Brownsville,"36,499"
Brownwood,"39,139"
Brushy Creek,"108,002"
Bryan,"44,700"
Buda,"84,011"
Burkburnett,"48,059"
Burleson,"77,342"
Burnet,"59,130"
Cameron,"39,518"
Cameron Park,"27,222"
Camp Swift,"45,982"
Canutillo,"26,846"
Canyon,"56,140"
Canyon Lake,"65,368"
Carrizo Springs,"30,755"
Carrollton,"75,820"
Carthage,"50,670"
Cedar Hill,"70,327"
Cedar Park,"101,845"
Celina,"112,176"
Center,"28,988"
Channelview,"61,685"
Childress,"39,257"
Cibolo,"97,277"
Cinco Ranch,"139,420"
Cleburne,"50,253"
Cleveland,"39,706"
Cloverleaf,"49,748"
Clute,"50,955"
College Station,"42,964"
Colleyville,"175,369"
Commerce,"24,640"
Conroe,"57,214"
Converse,"70,726"
Coppell,"123,802"
Copperas Cove,"52,715"
Corinth,"96,670"
Corpus Christi,"55,709"
Corsicana,"41,914"
Crockett,"23,299"
Crowley,"72,788"
Crystal City,"32,553"
Cuero,"46,061"
Dalhart,"55,657"
Dallas,"50,100"
Dayton,"50,141"
Decatur,"55,849"
Deer Park,"79,726"
Del Rio,"44,486"
Denison,"45,257"
Denton,"56,489"
DeSoto,"68,954"
Dickinson,"68,943"
Doffing,"30,045"
Donna,"29,618"
Dumas,"52,495"
Duncanville,"55,224"
Eagle Pass,"41,190"
Edinburg,"46,862"
Edna,"51,753"
Eidson Road,"37,763"
El Campo,"50,526"
El Paso,"45,656"
Elgin,"46,819"
Elsa,"26,793"
Ennis,"54,803"
Euless,"63,327"
Everman,"40,156"
Fabens,"26,592"
Fair Oaks Ranch,"125,806"
Fairview,"92,159"
Farmers Branch,"71,032"
Fate,"108,237"
Floresville,"55,730"
Flower Mound,"134,184"
Forest Hill,"45,114"
Forney,"92,851"
Fort Bliss,"53,678"
Fort Hood,"43,308"
Fort Stockton,"46,389"
Fort Worth,"59,255"
Four Corners,"73,289"
Fredericksburg,"49,888"
Freeport,"38,420"
Fresno,"74,570"
Friendswood,"104,097"
Frisco,"127,133"
Gainesville,"43,340"
Galena Park,"45,020"
Galveston,"44,902"
Garland,"58,999"
Gatesville,"37,800"
Georgetown,"71,410"
Gladewater,"33,581"
Glenn Heights,"65,051"
Gonzales,"44,207"
Graham,"41,875"
Granbury,"45,380"
Grand Prairie,"65,249"
Grapevine,"85,722"
Greenville,"40,950"
Groves,"54,288"
Gun Barrel City,"41,911"
Haltom City,"50,448"
Harker Heights,"72,603"
Harlingen,"38,800"
Heath,"155,488"
Helotes,"131,379"
Hempstead,"34,036"
Henderson,"43,438"
Hereford,"50,772"
Hewitt,"73,600"
Hidalgo,"34,741"
Highland Park,"207,019"
Highland Village,"143,854"
Highlands,"53,560"
Hillsboro,"39,651"
Hitchcock,"50,732"
Homestead Meadows North,"34,925"
Homestead Meadows South,"40,042"
Hondo,"52,191"
Horizon City,"57,983"
Hornsby Bend,"63,071"
Houston,"51,140"
Humble,"41,189"
Huntsville,"32,137"
Hurst,"61,509"
Hutchins,"38,242"
Hutto,"73,764"
Ingleside,"63,251"
Iowa Park,"50,705"
Irving,"61,937"
Jacinto City,"37,407"
Jacksonville,"40,409"
Jasper,"36,703"
Jersey Village,"64,229"
Joshua,"58,586"
Katy,"77,731"
Kaufman,"42,610"
Keene,"47,993"
Keller,"133,266"
Kennedale,"75,000"
Kermit,"55,000"
Kerrville,"46,581"
Kilgore,"54,436"
Killeen,"50,418"
Kingsland,"41,935"
Kingsville,"38,384"
Kirby,"42,412"
Kyle,"74,826"
La Feria,"34,875"
La Homa,"27,513"
La Marque,"46,302"
La Porte,"72,640"
Lackland AFB,"76,771"
Lago Vista,"73,600"
Lake Dallas,"67,908"
Lake Jackson,"82,282"
Lakehills,"60,806"
Lakeway,"131,230"
Lamesa,"40,913"
Lampasas,"45,327"
Lancaster,"53,311"
Lantana,"142,112"
Laredo,"43,351"
League City,"104,831"
Leander,"92,426"
Leon Valley,"59,029"
Levelland,"45,082"
Lewisville,"63,056"
Liberty,"57,231"
Little Elm,"95,377"
Littlefield,"39,615"
Live Oak,"62,419"
Livingston,"38,819"
Lockhart,"56,214"
Longview,"47,950"
Los Fresnos,"44,597"
Lubbock,"48,701"
Lucas,"173,750"
Lufkin,"43,803"
Luling,"46,019"
Lumberton,"71,754"
Manor,"63,568"
Mansfield,"96,253"
Manvel,"94,956"
Marble Falls,"43,390"
Marlin,"25,241"
Marshall,"43,783"
McAllen,"47,279"
McKinney,"89,964"
Mercedes,"35,321"
